CP3,C3,F5,PO3,PO4,F6,C4,CP4
16207.7177734375,-62691.60546875,31341.076171875,27066.373046875,27055.7109375,20661.123046875,-334.0020751953125,6982.72900390625
15066.236328125,-54896.234375,36779.9921875,27243.80078125,27538.77734375,26875.66796875,10486.1630859375,6282.67236328125
13944.3349609375,-42379.70703125,45589.23828125,26927.03125,27377.173828125,36575.47265625,20801.0,5175.65771484375
12268.2900390625,-36768.2578125,45146.875,25703.408203125,25165.55859375,36807.21484375,22720.658203125,3711.97607421875
10826.53515625,-35866.03125,39370.0,24602.361328125,23144.044921875,31451.314453125,20306.06640625,2471.923828125
10957.025390625,-26736.728515625,42933.6484375,25026.88671875,23908.673828125,35943.8125,25146.6484375,2033.04736328125
11161.07421875,-11835.6494140625,52849.5078125,25527.857421875,24989.537109375,44806.5703125,33054.73828125,1583.3079833984375
10256.23046875,-3472.9912109375,54605.953125,24820.625,23833.37109375,45353.203125,33669.43359375,629.17919921875
8713.423828125,-2440.474853515625,46892.32421875,23394.427734375,21488.583984375,37563.0625,29166.54296875,-572.0481567382812
7302.18017578125,3929.503173828125,44168.5390625,22258.310546875,20525.3359375,35805.8828125,29578.328125,-1776.494140625
5990.9150390625,16741.677734375,48582.91796875,21383.84375,20541.162109375,42278.1171875,34357.28515625,-2906.1064453125
4936.0693359375,26192.10546875,48417.2265625,20496.30078125,19733.681640625,45432.59765625,35317.65234375,-3790.56494140625
4072.330810546875,25594.041015625,40343.7109375,19642.822265625,18039.12890625,39165.01171875,31371.51953125,-4514.76123046875
3341.76416015625,25509.08203125,34547.72265625,19104.369140625,17347.25390625,34818.625,30781.1640625,-5281.53759765625
3212.682861328125,35913.37109375,36914.97265625,19204.884765625,18220.380859375,40923.46875,35120.375,-5860.69384765625
2964.712646484375,45455.6640625,37503.8515625,19211.58984375,18459.56640625,46918.140625,37688.45703125,-6329.07470703125
2454.690673828125,44458.28515625,31230.435546875,18850.6328125,17286.970703125,42629.421875,34751.90625,-6898.10498046875
1883.5142822265625,40776.015625,26137.1875,18530.107421875,16431.345703125,36294.6484375,32458.685546875,-7488.99560546875
1630.9842529296875,44156.73828125,28870.359375,18682.79296875,17102.904296875,39566.671875,36176.16015625,-8105.166015625
1433.8419189453125,50314.484375,32366.484375,18788.740234375,17653.96484375,46516.74609375,40538.16796875,-8885.353515625
934.81689453125,50179.83984375,28868.34765625,18381.111328125,16724.17578125,44480.81640625,39124.64453125,-9715.2294921875
342.4510498046875,45479.6015625,24284.85546875,17786.599609375,15515.908203125,37007.375,36130.96484375,-10558.9853515625
103.4662094116211,48317.11328125,26807.60546875,17639.8828125,15863.4560546875,37729.0234375,38382.14453125,-11209.2197265625
-47.408042907714844,54907.234375,30691.578125,17634.115234375,16677.505859375,47065.19140625,42950.48046875,-11939.9208984375
-419.631591796875,52557.8203125,28894.69921875,17288.916015625,16194.91015625,49175.015625,42800.27734375,-12629.1142578125
-993.892578125,46478.79296875,24423.927734375,16675.427734375,14852.8662109375,41994.00390625,39052.359375,-13199.6865234375
-1180.9766845703125,43218.1640625,24753.50390625,16531.662109375,14829.5986328125,39682.4765625,38974.2421875,-13551.5927734375
-1084.4171142578125,47432.5859375,27994.55078125,16717.470703125,15797.0712890625,45564.76171875,42268.328125,-13857.7666015625
-1293.8975830078125,51485.73828125,27225.025390625,16553.185546875,15748.92578125,47802.6640625,42921.9140625,-14364.5703125
-1768.8497314453125,48735.26953125,22922.0234375,16118.466796875,14528.1181640625,40578.87109375,39707.48828125,-14778.5693359375
-2038.6800537109375,42694.93359375,21931.349609375,15872.306640625,14067.4482421875,35336.828125,38732.37109375,-15122.0927734375
-2087.8984375,40669.3984375,24627.775390625,15791.908203125,14813.1025390625,40518.3203125,41953.97265625,-15450.5966796875
-2204.4404296875,38062.4921875,24929.658203125,15656.5908203125,15110.7607421875,46711.07421875,43697.140625,-15736.7880859375
-2481.1103515625,30064.544921875,21813.1328125,15302.001953125,14213.9638671875,42671.0625,41461.18359375,-15941.0390625
-2699.039794921875,23897.4765625,20240.41796875,14954.25390625,13438.068359375,35833.0390625,39522.75390625,-16165.875
-2600.46875,22430.84375,22457.533203125,14959.283203125,14108.9560546875,39152.7421875,41985.35546875,-16360.201171875
-2479.970458984375,22692.091796875,24008.05078125,15001.7294921875,14874.6591796875,45821.71875,44859.0078125,-16508.52734375
-2616.427734375,21492.541015625,21596.0078125,14815.986328125,14281.01953125,43390.1640625,43405.3828125,-16581.21484375
-2731.159423828125,20969.576171875,19109.197265625,14636.009765625,13385.6982421875,35123.9296875,40435.91015625,-16532.533203125
-2796.47119140625,22524.7890625,20660.85546875,14574.1845703125,13706.5576171875,35897.87890625,41253.6484375,-16700.171875
-2819.470947265625,24484.6796875,22639.1171875,14707.021484375,14645.7333984375,44581.53125,43570.2734375,-16808.0625
-2916.835205078125,24201.705078125,20918.48046875,14650.29296875,14455.4970703125,47160.0078125,43169.75,-16805.314453125
-3340.087890625,21779.201171875,17128.98828125,14271.564453125,13174.4072265625,39260.69921875,39877.609375,-16949.28125
-3632.850830078125,20711.951171875,17421.685546875,14069.4599609375,12961.3056640625,35966.0078125,39191.765625,-17170.763671875
-3587.05224609375,21772.8984375,20301.037109375,14210.544921875,13979.2041015625,44292.92578125,41767.76171875,-17351.6796875
-3896.3779296875,20848.54296875,19752.591796875,14109.5595703125,14062.419921875,49379.8046875,41960.6796875,-17583.087890625
-4443.8837890625,17379.775390625,16298.64453125,13758.123046875,12860.72265625,42677.09765625,38939.57421875,-17755.62109375
-4845.2763671875,15724.3828125,15472.1884765625,13463.3486328125,12232.3486328125,36784.6171875,37524.3046875,-18022.43359375
-4712.90966796875,17277.314453125,18270.537109375,13622.2021484375,13162.1357421875,44273.75,39646.53515625,-18180.28125
-4678.84521484375,18105.1796875,19267.783203125,13712.4580078125,13793.662109375,53817.25,40649.34765625,-18337.861328125
-4916.0869140625,17158.896484375,16502.224609375,13548.0390625,12981.82421875,50257.890625,38436.0546875,-18379.166015625
-5265.51171875,15250.9736328125,14596.3798828125,13162.404296875,11976.80078125,39948.5546875,36348.828125,-18602.52734375
