CP3,C3,F5,PO3,PO4,F6,C4,CP4
3843.33740234375,-15042.5654296875,-19716.3828125,13899.9443359375,17224.677734375,-60424.73828125,-46215.6015625,-13669.6103515625
4405.79638671875,-5670.99462890625,-8994.5869140625,14163.001953125,17647.4609375,-50502.77734375,-36733.58984375,-13374.4326171875
4548.087890625,9930.8115234375,8962.9365234375,14147.7138671875,17655.439453125,-29461.919921875,-22602.103515625,-13260.9755859375
4001.788818359375,3453.6123046875,1710.176513671875,13895.384765625,17293.2734375,-35395.3671875,-29489.8828125,-13532.34765625
3768.302490234375,-13276.46484375,-17661.7421875,13883.1806640625,17280.66796875,-57474.10546875,-44828.09375,-13682.08203125
4253.044921875,-10096.4384765625,-14160.0517578125,14136.0458984375,17676.361328125,-55981.45703125,-41076.48828125,-13437.46484375
4591.875,7321.96142578125,5826.69677734375,14205.716796875,17804.63671875,-33483.08984375,-24855.96484375,-13226.2412109375
4166.4091796875,7554.7099609375,6345.63720703125,13963.78125,17437.779296875,-30701.97265625,-25559.9765625,-13433.240234375
3748.58837890625,-9907.2080078125,-13826.98828125,13846.8369140625,17261.22265625,-52706.48046875,-41919.84375,-13677.9921875
4080.712890625,-13444.0361328125,-18084.59375,14056.18359375,17617.822265625,-59852.7578125,-44480.81640625,-13519.3388671875
4564.18115234375,3241.3154296875,1024.8720703125,14212.0869140625,17923.458984375,-39218.65625,-28575.986328125,-13238.4453125
4317.1494140625,10126.880859375,9167.9912109375,14012.0615234375,17669.455078125,-28153.068359375,-22977.544921875,-13336.4130859375
3775.94677734375,-5293.20556640625,-8554.771484375,13800.6357421875,17342.89453125,-46579.17578125,-37778.30859375,-13623.6103515625
3913.07470703125,-15034.51953125,-19930.82421875,13924.0849609375,17541.3125,-61224.83984375,-46248.45703125,-13579.2197265625
4473.1201171875,-1739.0772705078125,-4722.29736328125,14137.7900390625,17900.2578125,-45827.6875,-33233.5078125,-13279.7509765625
4453.20458984375,10888.830078125,9877.369140625,14022.25390625,17756.759765625,-28047.591796875,-22055.537109375,-13262.115234375
3876.462646484375,-84.22136688232422,-2632.588134765625,13757.6533203125,17376.2890625,-40072.13671875,-32977.76171875,-13560.376953125
3801.025390625,-14627.29296875,-19546.396484375,13799.8310546875,17468.490234375,-60123.99609375,-46121.0546875,-13629.2431640625
4340.88720703125,-6700.4931640625,-10530.28515625,14028.2216796875,17841.5859375,-52241.25,-37974.11328125,-13348.080078125
4525.8251953125,9599.8271484375,8220.9033203125,14001.1982421875,17831.9296875,-30495.107421875,-23045.271484375,-13221.0771484375
