0,1,2,3,4,5,6,7,8,9,10,11
31.0,-1016.9595336914062,4190.482421875,8191.46630859375,8932.8291015625,7410.138671875,-3259.152099609375,-65495.7890625,-36225.51171875,0.0,1727637365106.954,0.0
0.0,-1024.4027099609375,6118.6552734375,8245.646484375,8926.7265625,7404.64013671875,-3205.84326171875,-60750.08984375,-36228.53125,0.0,1727637365110.799,0.0
1.0,-1024.4697265625,5882.88916015625,8243.76953125,8928.6044921875,7405.44482421875,-3216.63916015625,-59429.03515625,-36225.84765625,0.0,1727637365114.516,0.0
2.0,-1016.2890014648438,3880.0166015625,8188.31494140625,8936.8525390625,7410.541015625,-3270.082275390625,-63978.6640625,-36221.01953125,0.0,1727637365118.656,0.0
3.0,-997.9158935546875,3770.179931640625,8182.68212890625,8938.39453125,7409.8037109375,-3268.00341796875,-66142.40625,-36224.3046875,0.0,1727637365122.304,0.0
4.0,-984.1024780273438,5748.17529296875,8238.0029296875,8928.8056640625,7406.04833984375,-3216.23681640625,-61993.62890625,-36228.0625,0.0,1727637365126.621,0.0
5.0,-1002.8109130859375,6245.65771484375,8251.212890625,8926.7939453125,7405.10986328125,-3204.03271484375,-59042.6640625,-36225.98046875,0.0,1727637365130.26,0.0
6.0,-1016.423095703125,4358.791015625,8196.361328125,8934.572265625,7409.2001953125,-3255.12890625,-62613.28515625,-36220.68359375,0.0,1727637365134.33,0.0
7.0,-1002.5426635742188,3487.408203125,8168.533203125,8934.37109375,7407.52392578125,-3280.40869140625,-66306.5546875,-36224.23828125,0.0,1727637365137.937,0.0
8.0,-986.98583984375,5201.0712890625,8212.455078125,8928.470703125,7405.91455078125,-3235.75,-63435.8515625,-36232.5546875,0.0,1727637365141.998,0.0
9.0,-986.1812133789062,6393.9169921875,8246.5185546875,8924.3125,7403.1650390625,-3211.475830078125,-59243.08984375,-36238.65625,0.0,1727637365146.039,0.0
10.0,-1021.519287109375,4938.818359375,8205.279296875,8929.275390625,7404.90869140625,-3257.00634765625,-61234.765625,-36237.11328125,0.0,1727637365150.01,0.0
11.0,-1040.0936279296875,3429.53955078125,8157.87158203125,8935.2431640625,7411.07763671875,-3298.17822265625,-65898.65625,-36237.71484375,0.0,1727637365153.648,0.0
12.0,-1041.702880859375,4609.91259765625,8190.728515625,8932.2255859375,7414.49755859375,-3261.4990234375,-64766.96484375,-36241.3359375,0.0,1727637365157.751,0.0
