CP3,C3,F5,PO3,PO4,F6,C4,CP4
16608.775390625,11750.4892578125,11103.33984375,2491.63818359375,-4369.7880859375,-181048.90625,-27889.341796875,-18209.78515625
-239.1859893798828,7105.03759765625,6156.6083984375,4112.630859375,7430.9931640625,-22879.64453125,9367.4140625,9720.2587890625
19814.283203125,62341.7109375,56783.90625,41987.56640625,70237.265625,124488.6328125,96739.703125,96283.125
60925.70703125,104979.1796875,96895.875,68141.046875,103377.8984375,112684.6953125,124595.25,130058.234375
28191.08984375,29203.623046875,27872.779296875,12454.63671875,10537.326171875,-146665.328125,-8071.638671875,2162.59814453125
949.0996704101562,1967.735595703125,1692.876220703125,308.5210876464844,-979.2074584960938,-79091.7734375,-7728.71826171875,-5666.0322265625
10776.9150390625,43830.04296875,39233.9453125,29612.123046875,50589.94921875,96963.6015625,72209.359375,71223.6484375
58814.875,109041.515625,99813.3828125,73195.0,112945.6796875,149366.390625,140522.8125,144187.578125
42671.53125,53064.21875,50121.76953125,28011.716796875,35086.71484375,-84005.1796875,26024.400390625,35947.03125
3755.629150390625,340.90875244140625,708.1702270507812,-2069.7265625,-7250.078125,-133781.953125,-22297.94140625,-18003.45703125
5221.79150390625,28365.634765625,24771.408203125,19097.931640625,33187.91015625,63719.69921875,48886.4765625,47922.2890625
50975.91796875,101899.0625,92246.265625,69942.828125,109181.265625,161031.3125,139344.71875,141478.40625
57161.62890625,80158.21875,74680.140625,47898.08203125,66960.609375,220.2764129638672,70416.8359375,78802.8984375
10425.478515625,4897.57958984375,5565.1142578125,-1189.69384765625,-8360.37890625,-168744.40625,-28611.056640625,-22019.52734375
2279.609375,15135.7724609375,12780.79296875,9990.423828125,17543.79296875,19426.837890625,25683.89453125,25253.19921875
36491.98828125,83681.5,75175.546875,58173.29296875,92810.1953125,149750.28125,122146.7890625,122648.765625
63634.8046875,100291.75,92992.25,63952.3125,94429.8515625,75944.671875,109614.4375,116005.4765625
20996.197265625,17316.341796875,17126.9765625,5219.310546875,-341.177001953125,-172597.609375,-21881.52734375,-12728.2216796875
1129.6123046875,6391.3017578125,5228.36279296875,3799.416015625,5948.46923828125,-36161.07421875,5672.00048828125,6450.4443359375
23977.138671875,63210.14453125,55721.68359375,44415.4375,71816.2109375,125254.9375,97222.765625,96962.9296875
68404.2421875,114053.828125,104024.8515625,76579.1484375,115028.140625,134212.109375,139074.890625,143776.53125
33729.71875,37566.21484375,36546.7734375,17632.57421875,18723.427734375,-123662.3046875,4578.4638671875,13374.90234375
1725.062744140625,1552.3284912109375,1589.141845703125,-320.2557678222656,-2550.847900390625,-88251.5859375,-10657.8916015625,-8601.6435546875
12945.279296875,42675.35546875,36960.37109375,29876.65625,49467.84765625,93235.328125,69618.9453125,68849.5546875
61532.01953125,112359.0078125,101979.1328125,77202.2265625,118203.34375,160742.78125,147321.40625,150285.71875
48190.98046875,61970.828125,58577.56640625,34494.1484375,45037.84375,-60693.83203125,39724.51953125,48882.3203125
5568.3330078125,1125.52197265625,1594.1708984375,-2105.7353515625,-8151.09912109375,-149144.171875,-25143.49609375,-20227.544921875
6373.46484375,26546.89453125,22437.482421875,18419.533203125,31040.9375,54632.3046875,44832.72265625,44152.04296875
55156.4765625,103950.1484375,92121.40625,73290.7578125,112389.65625,166192.15625,142336.859375,144546.65625
66555.6640625,91577.1875,84059.4921875,57427.30078125,80331.9609375,28024.927734375,87356.6640625,95066.2734375
13928.1083984375,8429.3779296875,9332.6796875,529.4010009765625,-6351.5380859375,-166571.484375,-26026.078125,-19743.205078125
2947.6806640625,13484.671875,11018.783203125,9087.32421875,15303.74609375,9480.0,21544.77734375,21350.31640625
40237.4921875,83893.734375,73198.421875,60103.54296875,93532.71875,149992.28125,121698.4609375,122528.1328125
74267.8828125,111320.390625,100887.734375,74191.9765625,107765.390625,101003.6796875,125624.34375,131606.0
25695.09375,23372.166015625,23433.923828125,9032.5400390625,5122.01318359375,-154297.828125,-13112.6494140625,-5438.11181640625
1615.9638671875,5369.91650390625,4401.974609375,3001.593017578125,4144.884765625,-43766.41015625,2531.737060546875,3277.18994140625
24644.13671875,60997.65625,52713.72265625,43639.20703125,69577.1015625,121637.0390625,93843.046875,93642.890625
72787.9140625,119225.0625,107479.3359375,81896.890625,122148.203125,148727.15625,147879.09375,152223.0
39229.51953125,45264.22265625,43689.83203125,23062.572265625,26681.876953125,-104488.0703125,15478.15625,23719.84765625
2591.0810546875,1231.26806640625,1506.7979736328125,-855.4235229492188,-4091.3076171875,-100981.34375,-14045.3876953125,-11724.8740234375
16287.6474609375,42015.6640625,34919.41015625,30426.845703125,48553.8828125,88406.8828125,66875.1171875,66600.65625
74535.3046875,121400.8671875,106082.640625,87011.734375,128931.4375,174496.0625,157762.578125,161434.109375
61607.32421875,76144.0234375,70319.3359375,46230.82421875,60664.7265625,-25948.763671875,59980.09375,67602.265625
7622.36865234375,2949.4912109375,4233.5986328125,-1570.9698486328125,-7784.1728515625,-141670.453125,-23386.44921875,-19833.19140625
10384.708984375,27071.267578125,21631.880859375,19702.703125,31339.265625,51612.609375,43494.30078125,43305.80859375
66792.5703125,111703.9453125,95684.5234375,81906.546875,121685.71875,177515.5625,151388.5,153984.6875
80636.453125,107249.3984375,97001.8203125,70705.578125,98421.984375,63279.14453125,110097.1015625,116347.7265625
17552.77734375,13151.2734375,15032.4404296875,2836.43603515625,-3083.333251953125,-153016.671875,-19768.685546875,-15526.97265625
6333.63427734375,14468.9755859375,11021.666015625,10397.8515625,15867.0771484375,5235.26953125,20668.6328125,20789.19921875
55999.49609375,93292.59375,77193.7109375,70120.9921875,103533.0,159532.5,130359.71875,132306.203125
97867.5,131946.84375,115548.0234375,92801.28125,130745.3515625,137009.859375,151695.953125,157180.875
34477.046875,33572.875,34261.12890625,15609.3837890625,14399.841796875,-121323.890625,2376.504150390625,6474.38330078125
4217.17041015625,5787.87158203125,4620.8427734375,3362.35009765625,3538.5712890625,-44543.109375,1056.5892333984375,1381.136474609375
48950.515625,74295.4453125,57320.484375,58123.671875,83543.3671875,131990.90625,104506.578125,106669.7109375
119366.078125,153455.21875,126952.640625,115568.5390625,159921.078125,193850.890625,185648.828125,191336.78125
63336.609375,68301.1796875,63759.05859375,41878.6015625,50661.49609375,-41348.6640625,49353.65234375,51634.46875
4830.25634765625,3005.281005859375,4379.3095703125,-247.43377685546875,-3756.031494140625,-76742.7578125,-10283.1875,-11240.2666015625
51825.375,62888.14453125,42809.12890625,52311.390625,70209.234375,104327.9375,83337.109375,87285.1171875
167931.15625,186026.21875,137859.4375,151947.953125,198367.0625,243260.734375,221456.65625,231190.921875
130807.984375,132228.75,108311.6875,97462.2890625,119819.7109375,77817.390625,129219.171875,130607.8203125
15374.2880859375,10996.7890625,14136.515625,3218.5166015625,-2479.769287109375,-83903.453125,-7332.28759765625,-13456.3740234375
37695.02734375,42238.421875,26770.32421875,35674.25,46546.65234375,64251.2421875,54271.4140625,57279.17578125
165589.65625,177341.5625,125349.28125,148691.40625,191172.4375,240956.84375,212420.421875,223022.1875
183487.03125,184973.921875,142535.0625,145080.953125,180869.0,173300.9375,196301.6875,201514.703125
45092.55859375,36958.76171875,36142.6328125,21794.69140625,17384.669921875,-77524.2890625,13918.18359375,6300.576171875
19091.62890625,20741.9921875,13288.1328125,16985.2890625,21015.173828125,12783.609375,23963.056640625,23893.720703125
132183.546875,142478.265625,98013.546875,120741.046875,155294.734375,203305.875,173882.921875,183271.859375
204823.9375,210443.109375,157747.625,169516.8125,214510.140625,233484.625,234085.90625,242580.921875
81244.515625,72817.546875,64126.51953125,49335.27734375,51955.05859375,-33060.70703125,52515.37109375,46577.36328125
9231.2919921875,8102.48388671875,6855.32373046875,5110.07763671875,3473.1923828125,-35532.8984375,2169.97412109375,-1278.0726318359375
92330.75,100455.3671875,66734.5703125,85742.3125,110729.96875,151448.921875,125356.390625,132763.578125
206578.984375,215320.4375,156831.375,177442.078125,226140.1875,262904.5,247523.4375,258187.625
123192.1171875,116717.9375,95331.6796875,85976.8671875,99855.0859375,39120.0859375,105609.296875,103329.484375
11846.177734375,7720.47021484375,9449.958984375,2865.672119140625,-2659.276123046875,-71145.390625,-6798.5283203125,-13155.162109375
59142.0390625,64948.28125,41819.2578125,55502.8828125,71932.2890625,100588.203125,82519.3671875,87514.984375
191376.484375,201816.640625,143888.375,168757.75,215814.15625,262508.75,237567.8125,248885.328125
161647.75,159006.375,124851.3984375,122168.5859375,148694.765625,117856.6015625,160270.578125,161938.90625
25875.001953125,19052.19921875,20837.6796875,9335.16015625,2658.069091796875,-86962.8515625,-1939.639404296875,-10209.8955078125
34276.88671875,37740.625,23786.365234375,31989.634765625,41163.19140625,51548.97265625,47537.19140625,49802.71875
163392.328125,174181.578125,121900.234375,147037.890625,188544.140625,238579.75,209220.15625,219944.5625
194152.5,196366.59375,149840.46875,155668.03125,194703.296875,194742.1875,211517.453125,217406.1875
54022.91015625,45610.16015625,43276.30078125,28252.244140625,24998.45703125,-69529.296875,22563.345703125,14383.345703125
16782.849609375,17691.046875,11605.8515625,14249.4365234375,16877.80078125,737.3392333984375,18746.16015625,17757.498046875
126545.2109375,136183.734375,92752.734375,116034.3046875,149035.875,196114.8125,166875.84375,176093.125
210570.03125,217050.984375,161347.8125,176257.75,223430.5625,247830.28125,243873.421875,252966.4375
92839.5703125,84772.0859375,73137.3359375,58985.3984375,64209.40234375,-15933.0595703125,66261.7578125,60574.94140625
9131.8486328125,7229.15673828125,6987.35546875,3979.25830078125,1057.7291259765625,-47105.22265625,-1208.134033203125,-5774.662109375
85283.453125,92753.0,61021.1953125,79412.765625,102541.0546875,140967.578125,116282.75,123287.0703125
206687.34375,215964.703125,156152.3125,178953.359375,228327.9375,268526.6875,250145.890625,261153.890625
134952.265625,129418.53125,104301.5859375,96699.265625,114096.2109375,60855.1640625,121521.90625,119932.0234375
14700.0478515625,9827.6806640625,11825.255859375,3871.567626953125,-2318.031982421875,-78552.78125,-6844.72900390625,-14202.2294921875
52912.94140625,58078.41015625,37051.36328125,49694.62890625,64362.21875,88858.4296875,73937.0390625,78328.8203125
