CP3,C3,F5,PO3,PO4,F6,C4,CP4
37539.52734375,40998.63671875,52320.109375,30637.80078125,31753.197265625,6509.52001953125,6899.37939453125,51027.21484375
37494.53125,47352.3203125,52054.16796875,30652.955078125,31769.4921875,13989.3291015625,9461.4248046875,50762.6171875
37332.796875,24956.94921875,46409.0546875,30652.75390625,31771.50390625,-3155.5517578125,-2155.758544921875,50204.11328125
37348.3515625,14439.404296875,45630.0078125,30637.46484375,31757.958984375,-13890.958984375,-6905.74951171875,50357.19921875
37511.96875,34456.1953125,51035.1953125,30633.912109375,31757.0859375,973.1724853515625,3660.343505859375,50939.84375
37535.37109375,49277.20703125,52979.1953125,30652.486328125,31776.197265625,14821.41796875,10650.91796875,50915.76953125
37370.94921875,31826.01953125,47826.73828125,30659.794921875,31783.103515625,2457.7080078125,1289.740234375,50317.16796875
37319.71875,13920.9326171875,44967.5703125,30643.3671875,31767.94921875,-13639.033203125,-7373.32568359375,50237.57421875
37468.1796875,27458.109375,49423.1875,30635.7890625,31762.517578125,-4646.390625,116.9443130493164,50814.046875
37554.34765625,48361.63671875,53251.1015625,30652.486328125,31777.26953125,13376.7802734375,10407.8427734375,51020.04296875
37415.00390625,38636.953125,49445.31640625,30661.203125,31781.494140625,7805.1611328125,4815.83935546875,50466.03125
37309.73046875,16072.869140625,44912.65234375,30653.357421875,31769.759765625,-11195.8759765625,-6444.61083984375,50166.5625
37424.4609375,21137.013671875,47752.23828125,30642.6953125,31757.890625,-9450.8974609375,-3174.26025390625,50644.33203125
37547.640625,44834.3984375,52860.37109375,30644.841796875,31760.439453125,9950.5263671875,8794.2255859375,51044.046875
37456.109375,44424.95703125,51006.09375,30656.375,31770.162109375,12017.0341796875,7843.181640625,50636.08203125
37308.12109375,20620.0859375,45506.89453125,30647.255859375,31761.646484375,-6983.26513671875,-4317.015625,50150.73828125
37364.578125,16415.185546875,46287.08203125,30627.67578125,31742.87109375,-12812.64453125,-5790.55419921875,50446.51953125
37518.00390625,39217.984375,51880.5625,30626.333984375,31742.736328125,4926.74853515625,6005.19775390625,50984.8359375
37491.1796875,48128.41796875,52271.08984375,30641.287109375,31757.556640625,14410.7041015625,9900.9052734375,50790.2421875
37330.11328125,26817.12890625,46657.2265625,30644.775390625,31758.6953125,-1618.5789794921875,-1252.993896484375,50211.890625
37323.33984375,13956.8076171875,45254.296875,30625.529296875,31740.189453125,-14070.4658203125,-7220.9091796875,50296.91796875
37488.296875,32397.666015625,50473.33984375,30624.189453125,31741.798828125,-687.2490234375,2607.6435546875,50896.5234375
37526.98828125,49220.48046875,53017.28125,30638.5390625,31758.091796875,14646.1357421875,10688.3349609375,50934.34375
37366.45703125,33752.11328125,48184.140625,30643.970703125,31762.31640625,4095.263671875,2287.656005859375,50332.7265625
37305.5703125,14230.19140625,44783.30078125,30635.923828125,31751.3203125,-13124.451171875,-7283.53857421875,50193.1171875
37444.91015625,25511.8984375,48846.84765625,30625.595703125,31741.865234375,-6142.52685546875,-929.318359375,50741.4921875
37541.671875,47574.41015625,53122.15625,30636.2578125,31755.208984375,12569.904296875,10012.9541015625,51005.82421875
