CP3,C3,F5,PO3,PO4,F6,C4,CP4
36127.546875,9135.40234375,36115.54296875,28811.1484375,32791.6796875,23652.724609375,4388.83154296875,56718.9296875
36364.65234375,12567.9599609375,36229.87109375,28834.1484375,32812.73828125,51349.88671875,14834.6943359375,58743.9296875
35799.64453125,3310.449462890625,34791.8046875,28835.892578125,32804.35546875,40265.58984375,3825.768798828125,53984.75390625
35474.29296875,-1645.4681396484375,34372.375,28819.1953125,32789.3359375,11954.806640625,-8142.24755859375,51135.17578125
35962.65625,6323.173828125,35712.203125,28816.24609375,32796.98046875,15949.2861328125,-137.99964904785156,55210.1875
36415.8828125,13327.6279296875,36433.046875,28837.501953125,32817.49609375,46558.5234375,14136.11328125,59078.06640625
35964.9375,5985.41650390625,35116.08203125,28837.63671875,32806.8359375,46827.34765625,7967.703125,55427.71484375
35474.2265625,-1536.2352294921875,34257.2421875,28819.59765625,32788.59765625,18352.74609375,-6336.45068359375,51266.46875
35758.33984375,3389.976806640625,35253.75,28801.962890625,32781.82421875,10462.7607421875,-4150.6513671875,53670.265625
36346.01171875,12702.8076171875,36417.69140625,28816.447265625,32803.6171875,38932.53125,11556.029296875,58690.95703125
36115.00390625,8753.0537109375,35476.640625,28831.064453125,32807.640625,51175.7421875,11583.1865234375,56863.03125
35539.5390625,-387.1768798828125,34272.1953125,28817.251953125,32783.90234375,26380.93359375,-3157.7646484375,51958.0078125
35597.00390625,806.7413940429688,34781.2109375,28803.3046875,32777.80078125,8052.3935546875,-7026.91845703125,52354.10546875
36224.23828125,10889.03125,36190.98046875,28812.892578125,32795.50390625,29872.56640625,7575.2958984375,57686.60546875
36253.9453125,11251.666015625,35835.71875,28826.505859375,32800.46484375,52516.9140625,14078.177734375,58123.26953125
35645.953125,1577.0047607421875,34442.04296875,28816.78125,32781.625,34791.60546875,853.6800537109375,53065.29296875
35459.875,-1042.9769287109375,34400.40234375,28796.396484375,32767.2734375,9139.224609375,-8322.6259765625,51429.94921875
36044.0625,8287.958984375,35844.37109375,28795.32421875,32780.015625,21101.609375,2994.082763671875,56280.859375
36350.703125,12911.4169921875,36161.67578125,28817.251953125,32800.93359375,50236.96875,14835.8349609375,58925.65234375
35799.9140625,4041.61962890625,34729.30859375,28821.810546875,32792.41796875,42403.78125,5105.919921875,54417.4609375
35413.00390625,-1781.4561767578125,34168.2578125,28805.650390625,32774.515625,13610.9365234375,-7753.32763671875,51121.09375
35848.86328125,5408.607421875,35432.65234375,28801.896484375,32785.98046875,13974.443359375,-1419.0897216796875,54760.31640625
36355.93359375,13273.1796875,36309.0625,28823.0859375,32811.86328125,44537.6796875,13592.8984375,59065.9296875
35969.02734375,6801.21044921875,35086.578125,28835.021484375,32811.6640625,48371.828125,9143.1142578125,55876.6484375
35454.109375,-1314.01416015625,34119.2421875,28822.615234375,32793.42578125,20593.732421875,-5503.89306640625,51443.5625
