CP3,C3,F5,PO3,PO4,F6,C4,CP4
-13251.7890625,-569.90234375,-2303.950439453125,-6031.4833984375,4445.42626953125,6803.892578125,-723.7941284179688,5868.5390625
-13274.5205078125,-368.87078857421875,-1973.837646484375,-6059.37841796875,4421.01806640625,6925.798828125,-754.1030883789062,5852.24462890625
-13308.8525390625,44.122337341308594,1198.8133544921875,-6100.2822265625,4379.779296875,7152.5126953125,79.7286605834961,5824.48388671875
-13287.7978515625,-241.53292846679688,1342.847900390625,-6073.99658203125,4406.3330078125,6989.76953125,61.087310791015625,5844.8017578125
-13272.2412109375,-590.0859985351562,-1782.1937255859375,-6054.01416015625,4427.3212890625,6845.60107421875,-678.7329711914062,5863.3759765625
-13300.068359375,-481.2553405761719,-2178.423095703125,-6084.72509765625,4399.02392578125,6933.2421875,-827.3944091796875,5834.20703125
-13349.890625,-97.83357238769531,479.9812927246094,-6142.52685546875,4342.29541015625,7109.06103515625,-140.2124786376953,5785.189453125
-13350.3603515625,-168.71095275878906,2146.1025390625,-6143.53271484375,4344.44091796875,7033.42236328125,226.64666748046875,5786.53076171875
-13344.861328125,-651.3074340820312,-913.22509765625,-6131.12744140625,4358.25439453125,6779.88671875,-549.115234375,5790.75537109375
-13387.978515625,-656.6718139648438,-2162.4638671875,-6174.31103515625,4311.65087890625,6768.75537109375,-907.4583740234375,5748.57763671875
-13425.4619140625,-299.53570556640625,-315.1595458984375,-6215.7509765625,4264.4443359375,6935.25390625,-467.509033203125,5715.51904296875
-13441.7568359375,-111.04345703125,2411.64111328125,-6229.6318359375,4251.1669921875,6992.65283203125,198.88580322265625,5702.37646484375
-13392.470703125,-582.9781494140625,84.35547637939453,-6177.93212890625,4305.8173828125,6713.5693359375,-396.5646057128906,5748.041015625
-13388.984375,-668.2723999023438,-2006.76171875,-6176.52392578125,4307.49365234375,6645.84326171875,-894.1143798828125,5748.845703125
-13431.0947265625,-427.54412841796875,-1044.3851318359375,-6220.51220703125,4260.68896484375,6754.673828125,-706.5609130859375,5704.58935546875
-13464.353515625,-94.3467025756836,2098.42626953125,-6259.404296875,4217.30419921875,6920.30029296875,106.3495864868164,5668.58056640625
-13431.765625,-474.41571044921875,1039.8924560546875,-6225.33984375,4257.06787109375,6695.732421875,-193.05198669433594,5699.42578125
-13421.7734375,-726.073974609375,-1725.1968994140625,-6217.1591796875,4266.58984375,6602.65966796875,-804.729736328125,5706.66796875
-13442.76171875,-561.3192749023438,-1584.0455322265625,-6239.7568359375,4242.2490234375,6722.15234375,-845.96875,5679.9130859375
-13457.1787109375,-135.58566284179688,1388.445556640625,-6261.9521484375,4224.34521484375,6989.4345703125,-76.91234588623047,5666.099609375
-13402.931640625,-694.1557006835938,-1176.551025390625,-6206.0283203125,4283.353515625,6685.80810546875,-677.8612670898438,5718.4697265625
-13426.9375,-611.0072021484375,-1838.9224853515625,-6232.984375,4256.46435546875,6712.83154296875,-909.6712036132812,5690.0380859375
-13477.3623046875,-249.04310607910156,466.97259521484375,-6285.5556640625,4207.24609375,6865.31494140625,-346.20611572265625,5644.6416015625
-13485.275390625,-228.5242156982422,2331.5771484375,-6289.24365234375,4199.73583984375,6798.259765625,102.1921615600586,5637.466796875
