CP3,C3,F5,PO3,PO4,F6,C4,CP4
37756.515625,26712.72265625,48751.83203125,31491.4140625,32699.212890625,-3841.52685546875,-2671.6142578125,51689.38671875
37780.58984375,18100.283203125,48637.03125,31472.97265625,32680.4375,-13378.6572265625,-6575.5693359375,51882.90625
37954.26171875,39323.6640625,53758.30859375,31472.1015625,32679.029296875,2355.5830078125,4437.3125,52505.11328125
37967.33984375,52430.94921875,54967.44921875,31488.59765625,32692.439453125,15141.271484375,10635.025390625,52430.4140625
37788.3671875,33423.87890625,49982.02734375,31489.201171875,32691.03125,1742.6312255859375,689.7300415039062,51780.44921875
37741.69921875,16951.76171875,47892.31640625,31469.28515625,32674.267578125,-13487.4208984375,-7299.56494140625,51732.4375
37906.921875,32340.19921875,52350.88671875,31462.982421875,32671.451171875,-3264.181396484375,922.6128540039062,52359.0
37984.9765625,52194.51171875,55415.30859375,31475.7890625,32687.0078125,14150.865234375,10687.6640625,52541.390625
37833.23046875,40371.06640625,51470.51953125,31485.04296875,32696.6640625,7243.37255859375,4256.73291015625,51934.47265625
37727.34765625,18484.30859375,47702.015625,31474.248046875,32684.9296875,-11412.4638671875,-6645.70947265625,51645.0625
37853.94921875,25723.658203125,50828.734375,31461.57421875,32675.943359375,-8281.72265625,-2481.781005859375,52180.56640625
37983.296875,49222.15625,55254.37890625,31471.296875,32687.076171875,11052.7802734375,9317.3232421875,52590.875
37879.8984375,46471.484375,52958.7421875,31486.384765625,32702.36328125,11698.923828125,7424.89111328125,52130.0078125
37729.16015625,22510.775390625,48082.6875,31481.623046875,32695.859375,-7516.3544921875,-4715.189453125,51645.8671875
37802.25,20540.22265625,49427.81640625,31466.06640625,32682.314453125,-11917.45703125,-5212.873046875,52006.22265625
37966.53515625,44025.7109375,54525.5546875,31467.9453125,32684.86328125,6346.3076171875,6795.77880859375,52566.53515625
37928.84765625,50792.58984375,54244.390625,31486.384765625,32699.81640625,14499.216796875,9756.4677734375,52317.0234375
37754.5078125,28411.43359375,49014.95703125,31486.5859375,32696.1953125,-2324.268310546875,-1778.036376953125,51700.98828125
37759.19921875,17478.75,48334.546875,31466.46875,32676.212890625,-13626.76171875,-6907.09033203125,51828.79296875
37939.78125,37410.6484375,53322.31640625,31468.34765625,32681.2421875,760.4733276367188,3461.994140625,52465.015625
