CP3,C3,F5,PO3,PO4,F6,C4,CP4
-22881.724609375,2243.265625,-2226.501708984375,-19098.267578125,-8259.9296875,-7068.5595703125,988.0587158203125,-10616.25
-23074.91015625,1705.4825439453125,10356.9482421875,-19250.21484375,-8435.0107421875,-7508.5087890625,6716.65380859375,-10808.69921875
-22744.86328125,-3492.236083984375,-1334.39892578125,-18829.173828125,-8047.431640625,-8244.9091796875,-1665.584716796875,-10493.8076171875
-22518.619140625,-6719.80517578125,-24137.1328125,-18573.693359375,-7786.7880859375,-8612.3720703125,-14161.59375,-10277.822265625
-23198.89453125,1138.1282958984375,-8864.09765625,-19394.986328125,-8538.611328125,-7782.89892578125,-2812.765625,-10935.634765625
-23506.07421875,3046.587158203125,10388.798828125,-19698.544921875,-8861.2138671875,-7912.98583984375,7410.8095703125,-11240.19921875
-23307.123046875,-1474.879638671875,4434.42919921875,-19419.4609375,-8617.2001953125,-8570.26171875,2108.082275390625,-11051.8408203125
-22923.431640625,-6818.1083984375,-20280.919921875,-18965.498046875,-8181.9443359375,-9199.306640625,-12426.40625,-10680.01953125
-23621.677734375,-1001.8721313476562,-16104.787109375,-19787.259765625,-8935.98046875,-8621.55859375,-7421.1357421875,-11360.3623046875
-24028.16796875,3693.46875,7986.21044921875,-20240.486328125,-9385.0498046875,-8285.8134765625,6596.625,-11756.9267578125
-23711.0625,354.65509033203125,8340.9326171875,-19849.083984375,-9027.041015625,-8663.9375,4917.8974609375,-11444.9189453125
-23110.11328125,-5660.53369140625,-13623.54296875,-19154.056640625,-8369.2294921875,-9251.7431640625,-8791.7451171875,-10863.3486328125
-23300.1484375,-2940.77392578125,-21484.091796875,-19422.345703125,-8585.884765625,-8744.1357421875,-11164.359375,-11044.5986328125
-23802.123046875,4090.234619140625,3735.37841796875,-20020.611328125,-9157.330078125,-7994.52490234375,4677.23583984375,-11530.9501953125
-23587.4140625,2111.837158203125,10866.298828125,-19747.16015625,-8915.7294921875,-8241.556640625,7027.923828125,-11319.056640625
-22976.5390625,-3702.58837890625,-5839.10205078125,-19038.923828125,-8242.0927734375,-8774.9140625,-4214.8232421875,-10722.599609375
-22959.5078125,-4751.33203125,-23886.345703125,-19041.404296875,-8217.6845703125,-8785.7763671875,-13507.2021484375,-10707.1767578125
-24115.0703125,2816.788818359375,-3127.388671875,-20328.39453125,-9456.5302734375,-8427.2998046875,581.2346801757812,-11844.970703125
-24416.1484375,2597.048828125,10712.9443359375,-20595.609375,-9755.126953125,-8850.3505859375,7284.0751953125,-12149.4677734375
-24097.166015625,-2474.13671875,329.44232177734375,-20184.16015625,-9380.2880859375,-9507.5595703125,-585.3250732421875,-11844.3671875
-23805.677734375,-6385.0654296875,-23157.3203125,-19852.4375,-9049.169921875,-9870.328125,-14113.91796875,-11560.052734375
-24589.419921875,903.5021362304688,-10642.06640625,-20771.763671875,-9906.068359375,-9169.5341796875,-4158.02734375,-12323.54296875
-24810.166015625,3471.31494140625,9680.2939453125,-20998.947265625,-10157.2568359375,-9045.6826171875,7311.36669921875,-12549.1171875
-24391.806640625,-532.2843627929688,5751.3935546875,-20500.19140625,-9695.984375,-9420.119140625,3121.48779296875,-12142.830078125
-23833.439453125,-6052.60595703125,-18051.1328125,-19859.208984375,-9076.193359375,-9922.4296875,-11660.3671875,-11593.8486328125
-24502.44921875,-1186.139892578125,-17233.595703125,-20639.732421875,-9794.9580078125,-9491.8681640625,-8757.009765625,-12245.22265625
-25148.32421875,3859.29638671875,6898.50732421875,-21342.671875,-10495.4833984375,-9277.8955078125,6097.60009765625,-12884.2587890625
-24942.666015625,805.1991577148438,8953.4814453125,-21068.349609375,-10259.78515625,-9678.8857421875,5489.67724609375,-12689.4638671875
-24338.029296875,-5099.013671875,-11328.2431640625,-20364.404296875,-9592.853515625,-10210.23046875,-7934.7119140625,-12100.517578125
-24611.748046875,-3537.9677734375,-22201.44921875,-20700.283203125,-9883.7392578125,-10008.0595703125,-12563.19921875,-12368.8056640625
-25444.0390625,3498.2041015625,1588.135986328125,-21633.423828125,-10787.7109375,-9516.74609375,3562.7783203125,-13184.599609375
-25363.37109375,1998.5809326171875,10359.4287109375,-21496.296875,-10691.2177734375,-9791.470703125,7392.70458984375,-13109.4306640625
-24768.255859375,-3349.810791015625,-3818.057373046875,-20807.974609375,-10046.080078125,-10250.0615234375,-2851.12109375,-12527.6591796875
-24714.4765625,-5272.35107421875,-23461.484375,-20750.171875,-9971.6484375,-10438.7548828125,-14041.029296875,-12472.7412109375
-25908.26171875,2113.446533203125,-5224.33984375,-22069.484375,-11236.8466796875,-10155.5810546875,-625.5582275390625,-13643.525390625
-26249.439453125,2565.130615234375,9979.158203125,-22387.794921875,-11583.521484375,-10504.201171875,7640.80859375,-13986.78125
-25944.068359375,-2013.86962890625,1898.9368896484375,-21998.740234375,-11227.3916015625,-11067.9345703125,771.5374145507812,-13691.2685546875
-25504.791015625,-6344.22900390625,-21386.326171875,-21503.404296875,-10742.783203125,-11427.484375,-13849.8544921875,-13266.138671875
-26418.283203125,201.23272705078125,-12130.0888671875,-22548.056640625,-11727.35546875,-10986.2607421875,-5585.365234375,-14159.0458984375
-26879.01953125,3409.691162109375,9326.1748046875,-23033.537109375,-12223.966796875,-10949.0458984375,7538.9521484375,-14616.3623046875
-26476.0859375,-323.8096923828125,6687.3505859375,-22551.677734375,-11779.189453125,-11272.7880859375,4022.374755859375,-14223.1513671875
-25644.869140625,-5699.96240234375,-16049.265625,-21632.619140625,-10887.220703125,-11501.513671875,-11069.9462890625,-13401.9921875
-26078.314453125,-1519.7396240234375,-18120.6015625,-22167.65234375,-11363.2451171875,-11000.8125,-10119.37109375,-13818.0029296875
-26878.1484375,3957.130126953125,6240.3603515625,-23039.103515625,-12227.7216796875,-10837.2646484375,6004.39306640625,-14608.8525390625
-26649.22265625,1206.6588134765625,9618.1337890625,-22736.818359375,-11967.078125,-11164.8291015625,6366.0888671875,-14390.4541015625
-25929.18359375,-4588.1865234375,-9312.0927734375,-21917.134765625,-11185.482421875,-11555.6943359375,-6973.07275390625,-13682.015625
-26106.87890625,-3915.28759765625,-22486.43359375,-22139.556640625,-11366.732421875,-11430.099609375,-13838.7900390625,-13848.2451171875
-27189.888671875,3289.528076171875,527.724609375,-23335.017578125,-12523.3681640625,-11150.6806640625,2497.40478515625,-14904.029296875
-27161.1875,2204.0380859375,10788.2470703125,-23259.37890625,-12484.8115234375,-11409.0439453125,7545.724609375,-14884.9189453125
-26431.626953125,-2908.252197265625,-2209.201416015625,-22437.482421875,-11700.734375,-11680.751953125,-2523.623291015625,-14172.7255859375
-26075.900390625,-5316.54052734375,-23029.447265625,-22066.130859375,-11312.015625,-11652.521484375,-15562.109375,-13820.1494140625
-27127.66015625,2090.848876953125,-6359.38330078125,-23255.01953125,-12439.2802734375,-11160.873046875,-2431.02001953125,-14848.8427734375
-27383.54296875,3178.417724609375,10469.869140625,-23496.28515625,-12702.673828125,-11271.3798828125,7801.1376953125,-15101.9765625
-26798.21875,-1041.6358642578125,3925.144775390625,-22829.017578125,-12069.203125,-11475.2275390625,1763.4183349609375,-14532.6103515625
-26086.427734375,-5768.09033203125,-19637.861328125,-22054.93359375,-11310.673828125,-11625.431640625,-14081.7314453125,-13838.3212890625
-26947.953125,112.71983337402344,-13340.1005859375,-23046.34375,-12238.8525390625,-11240.5341796875,-7612.17626953125,-14677.71875
-27386.359375,3887.99609375,8824.53515625,-23517.810546875,-12722.3876953125,-11100.6572265625,7096.38720703125,-15113.9794921875
-26844.150390625,606.4474487304688,8152.30615234375,-22901.7734375,-12141.1533203125,-11193.3271484375,4864.72265625,-14581.4267578125
-25908.26171875,-4962.220703125,-13580.2919921875,-21880.9921875,-11142.4326171875,-11344.8720703125,-10559.521484375,-13659.9541015625
-26373.423828125,-1924.6861572265625,-18980.65234375,-22438.623046875,-11642.6650390625,-11055.2607421875,-12294.9775390625,-14114.8564453125
-27227.70703125,4058.115234375,5154.736328125,-23378.06640625,-12558.572265625,-10847.7919921875,4816.509765625,-14952.64453125
-26964.515625,1792.2520751953125,10492.3994140625,-23056.134765625,-12271.240234375,-11055.8642578125,6875.0380859375,-14699.9130859375
-25900.751953125,-3533.139892578125,-6317.60791015625,-21896.81640625,-11150.4794921875,-11071.8232421875,-5523.9423828125,-13652.7119140625
-25660.626953125,-3678.58251953125,-21927.86328125,-21687.26953125,-10903.6494140625,-10739.765625,-16627.482421875,-13406.41796875
-26660.755859375,3579.005615234375,-614.628173828125,-22810.2421875,-11981.62890625,-10350.1748046875,-6148.56201171875,-14385.8935546875
-26652.0390625,3013.32763671875,11463.158203125,-22766.9921875,-11965.46875,-10532.1630859375,5131.46826171875,-14383.546875
-25942.9296875,-1858.3685302734375,485.0775146484375,-21973.52734375,-11201.7763671875,-10773.9638671875,-7518.1650390625,-13689.3916015625
-25403.470703125,-5090.63134765625,-21680.765625,-21406.84375,-10626.0400390625,-10781.072265625,-35308.93359375,-13154.8271484375
-26714.869140625,1689.92578125,-8071.57177734375,-22856.2421875,-12013.6142578125,-10668.6201171875,-17805.375,-14446.9140625
-26972.763671875,3517.650146484375,10417.6328125,-23116.08203125,-12294.84375,-10718.375,6922.4462890625,-14702.5283203125
-26323.333984375,-413.8648376464844,5537.21923828125,-22390.677734375,-11606.3876953125,-10880.1123046875,1461.0662841796875,-14063.1572265625
-25397.435546875,-5371.5927734375,-17901.533203125,-21397.658203125,-10625.50390625,-10971.173828125,-28048.6640625,-13150.53515625
-26339.560546875,-314.62310791015625,-14969.744140625,-22463.76953125,-11616.6474609375,-10763.771484375,-24542.14453125,-14073.0146484375
-27099.83203125,3915.220458984375,7965.42333984375,-23275.673828125,-12424.3271484375,-10811.716796875,5406.66259765625,-14827.2509765625
-26673.02734375,838.4585571289062,8890.5166015625,-22783.421875,-11960.9091796875,-11035.345703125,6949.87158203125,-14409.8994140625
-25547.7734375,-4660.27099609375,-11743.716796875,-21564.021484375,-10774.9033203125,-11072.7626953125,-19058.90625,-13303.287109375
-26026.279296875,-2600.06640625,-20374.529296875,-22120.4453125,-11279.6279296875,-10953.1357421875,-30278.51953125,-13774.1494140625
-27271.158203125,3626.21240234375,3342.837158203125,-23465.171875,-12596.1904296875,-11012.2119140625,336.21490478515625,-15004.6796875
-26890.75390625,1941.78515625,10681.2265625,-23029.580078125,-12194.0595703125,-11030.9873046875,9926.7880859375,-14630.310546875
-25740.892578125,-3150.65673828125,-4544.39990234375,-21780.9453125,-10981.2314453125,-10936.5732421875,-9448.953125,-13490.505859375
-25574.99609375,-4314.7353515625,-22593.05078125,-21632.75390625,-10805.8154296875,-10862.611328125,-32576.501953125,-13325.013671875
-27117.201171875,2686.8359375,-3025.93408203125,-23308.462890625,-12430.630859375,-10965.8759765625,-7548.7421875,-14850.1171875
-27153.947265625,2806.46240234375,11028.103515625,-23317.8515625,-12462.75,-11120.103515625,10686.45703125,-14893.904296875
-26153.013671875,-1552.3284912109375,1913.8902587890625,-22228.001953125,-11409.8486328125,-11060.15625,-1061.8865966796875,-13902.42578125
-25278.814453125,-5194.43310546875,-21020.5390625,-21310.28515625,-10497.96484375,-10866.3662109375,-30305.609375,-13033.1220703125
-26744.23828125,1133.769775390625,-10018.3857421875,-22916.927734375,-12039.6318359375,-10851.279296875,-16417.197265625,-14481.7158203125
-27397.826171875,3383.47265625,9726.3603515625,-23584.1953125,-12719.9072265625,-11160.2021484375,9225.2568359375,-15135.302734375
-26756.779296875,-256.8885803222656,6435.22314453125,-22867.240234375,-12036.681640625,-11327.7734375,4880.681640625,-14505.453125
-25601.484375,-5357.51123046875,-16515.298828125,-21630.80859375,-10825.126953125,-11244.5576171875,-24334.408203125,-13359.009765625
-30707.470703125,2043.9774169921875,-6927.34130859375,-26948.623046875,-16050.205078125,-15036.59765625,-1798.8905029296875,-18471.501953125
-30979.3125,3207.85498046875,11135.7275390625,-27205.84765625,-16336.8662109375,-15263.78125,8329.8681640625,-18743.41015625
-30213.2734375,-1196.533447265625,3389.17236328125,-26350.625,-15521.33984375,-15226.1630859375,1958.88427734375,-17990.984375
-29323.517578125,-5864.44873046875,-21308.138671875,-25385.900390625,-14574.251953125,-15002.5341796875,-13101.1826171875,-17110.548828125
-30514.486328125,95.48664093017578,-14642.447265625,-26709.7734375,-15834.890625,-14926.2919921875,-6493.091796875,-18282.33984375
-31193.21875,3973.62548828125,9447.4111328125,-27426.927734375,-16567.87109375,-15029.0205078125,8129.50732421875,-18958.12109375
-30577.65234375,337.4219055175781,7710.61328125,-26729.888671875,-15913.3447265625,-15025.5341796875,5228.4970703125,-18350.734375
-29456.48828125,-5151.1826171875,-14966.525390625,-25512.166015625,-14727.1376953125,-14871.5751953125,-9466.2529296875,-17239.4296875
-30041.478515625,-2110.294921875,-20805.828125,-26185.87109375,-15343.4423828125,-14674.2314453125,-11003.091796875,-17810.13671875
-31179.40625,4133.4853515625,5473.986328125,-27413.919921875,-16548.9609375,-14739.341796875,5968.45166015625,-18931.90234375
-30773.720703125,1635.007568359375,10528.7431640625,-26942.185546875,-16117.1923828125,-14808.8779296875,7246.59130859375,-18535.673828125
-29787.0703125,-3825.634765625,-7255.6435546875,-25858.57421875,-15070.52734375,-14772.8701171875,-5062.4013671875,-17565.853515625
-29703.05078125,-4244.66259765625,-24148.93359375,-25802.44921875,-14980.9423828125,-14561.1767578125,-14234.55078125,-17480.828125
-31008.68359375,3260.02392578125,-1648.6197509765625,-27243.130859375,-16374.2158203125,-14557.1533203125,1331.314453125,-18769.697265625
-30954.435546875,2779.304931640625,11331.39453125,-27154.349609375,-16314.40234375,-14749.7353515625,7877.24560546875,-18720.34375
-30137.166015625,-2036.3331298828125,58.20393753051758,-26249.640625,-15445.634765625,-14851.32421875,-675.5143432617188,-17919.302734375
-29494.509765625,-5431.87548828125,-23174.888671875,-25570.37109375,-14764.6884765625,-14770.5224609375,-14507.5322265625,-17287.642578125
-30757.896484375,1645.7364501953125,-9133.591796875,-26978.59765625,-16107.40234375,-14664.9111328125,-3723.308349609375,-18527.962890625
-31124.95703125,3687.970458984375,10902.2412109375,-27345.255859375,-16492.90234375,-14783.53125,7731.73583984375,-18887.04296875
-30475.52734375,-379.26434326171875,5688.16064453125,-26612.876953125,-15787.482421875,-14846.630859375,2857.089111328125,-18245.123046875
-29550.634765625,-5571.1494140625,-18718.130859375,-25611.20703125,-14798.015625,-14818.66796875,-12173.4736328125,-17334.849609375
-30372.73046875,-498.35443115234375,-16527.705078125,-26554.205078125,-15667.85546875,-14605.09765625,-8443.6611328125,-18137.5
-31116.240234375,4250.29541015625,8222.37890625,-27359.939453125,-16467.82421875,-14634.736328125,6674.9453125,-18869.7421875
-30649.87109375,1064.099365234375,9219.2216796875,-26835.232421875,-15980.19921875,-14717.884765625,5591.60107421875,-18420.13671875
