CP3,C3,F5,PO3,PO4,F6,C4,CP4
9307.533203125,-7660.4560546875,-17514.892578125,1880.8990478515625,-3604.3525390625,-26890.888671875,-8476.1162109375,8838.080078125
9927.7275390625,782.0650634765625,-6139.91162109375,1574.5908203125,-51.36430358886719,-14740.482421875,783.6073608398438,9050.7119140625
10246.4404296875,7528.357421875,12149.1328125,1614.2874755859375,228.92654418945312,7346.16796875,8099.86865234375,9255.7001953125
9687.1328125,125.25916290283203,3806.389892578125,1951.1058349609375,-3257.677001953125,-1278.2738037109375,-47.676265716552734,9099.9306640625
9311.087890625,-7865.64501953125,-15781.7822265625,2019.301025390625,-4132.41259765625,-24562.59765625,-8714.630859375,8915.193359375
9832.642578125,-2359.27099609375,-11952.392578125,1771.2637939453125,-841.3419189453125,-21572.203125,-2692.669677734375,9087.1904296875
10398.1201171875,7239.8857421875,9090.20703125,1682.8179931640625,944.9422607421875,3318.76416015625,7786.72119140625,9361.5126953125
9980.6337890625,3215.43212890625,8863.896484375,1968.4061279296875,-2160.318115234375,4347.25732421875,3348.335693359375,9246.37890625
9390.681640625,-6841.845703125,-11861.130859375,2134.233642578125,-4290.12646484375,-19626.662109375,-7592.2607421875,8984.7294921875
9684.3837890625,-5073.13037109375,-15973.6943359375,1908.9281005859375,-1743.5699462890625,-25984.5703125,-5653.22509765625,9043.0673828125
10385.916015625,5618.2890625,4093.58740234375,1704.074462890625,1208.87158203125,-2798.1474609375,6019.34619140625,9346.08984375
10237.052734375,5668.37939453125,11908.60546875,1938.9688720703125,-953.458251953125,7556.7216796875,6017.40185546875,9366.474609375
9577.900390625,-4730.20947265625,-6469.95751953125,2206.116943359375,-3986.43310546875,-13209.4775390625,-5318.41796875,9121.052734375
9632.013671875,-6928.14599609375,-17814.5625,2063.691650390625,-2549.842041015625,-27842.267578125,-7708.6015625,9094.96875
10351.5830078125,3039.34521484375,-1947.2166748046875,1787.625244140625,944.4728393554688,-10080.4794921875,3216.169677734375,9374.521484375
10466.314453125,7191.2705078125,12613.490234375,1900.8814697265625,154.4281768798828,8056.08203125,7674.873046875,9490.0576171875
9806.357421875,-2059.400146484375,-838.123291015625,2214.56591796875,-3365.77001953125,-6620.49658203125,-2440.273681640625,9260.05859375
9603.716796875,-7743.53759765625,-17438.515625,2186.603759765625,-3191.895751953125,-26997.70703125,-8620.0830078125,9127.2890625
10222.6357421875,41.17190933227539,-7944.30078125,1905.977783203125,283.5094909667969,-17112.560546875,-83.48375701904297,9349.845703125
10575.8828125,7509.38037109375,10826.8037109375,1901.41796875,886.1348266601562,5793.30322265625,8077.74072265625,9541.8916015625
10023.68359375,969.4844360351562,4572.56298828125,2206.8544921875,-2479.7021484375,-264.4658203125,858.5751342773438,9363.994140625
9585.4775390625,-7482.62548828125,-14845.7587890625,2284.772705078125,-3645.189208984375,-23466.982421875,-8363.060546875,9150.6240234375
10023.2138671875,-3022.178955078125,-13011.7314453125,2016.7529296875,-625.1558837890625,-22915.318359375,-3477.2158203125,9274.609375
10594.1220703125,6693.25146484375,7182.82177734375,1876.875732421875,1392.87109375,1219.332275390625,7198.17724609375,9534.8505859375
10230.4814453125,3818.32568359375,8959.1142578125,2119.8837890625,-1357.60009765625,4708.55078125,3965.981201171875,9444.2587890625
9606.130859375,-6192.21484375,-10601.69921875,2273.574462890625,-3726.59423828125,-18117.986328125,-7004.65576171875,9169.1982421875
9814.26953125,-5488.939453125,-16277.65625,2041.898681640625,-1578.88232421875,-26509.2109375,-6220.44482421875,9189.7841796875
10485.626953125,4819.25927734375,2196.326904296875,1795.5377197265625,1427.3375244140625,-5050.46533203125,5126.3046875,9466.1865234375
10374.8515625,5940.35546875,11513.046875,1947.8201904296875,-303.0225524902344,7309.55615234375,6322.3017578125,9481.9443359375
9689.279296875,-4024.5205078125,-5137.83837890625,2181.507568359375,-3399.16357421875,-11585.1982421875,-4598.4462890625,9211.2421875
9638.9873046875,-7180.40771484375,-17559.685546875,2054.303955078125,-2392.26220703125,-27725.7265625,-8061.17822265625,9120.44921875
10303.3037109375,2104.260009765625,-3577.798583984375,1765.2958984375,986.2482299804688,-12247.5029296875,2171.114013671875,9362.98828125
10469.533203125,7199.7197265625,12051.232421875,1822.15869140625,590.4883422851562,7309.35498046875,7736.3623046875,9485.900390625
9821.1767578125,-1374.3638916015625,551.9985961914062,2110.09375,-2872.645751953125,-5118.19140625,-1676.984130859375,9253.8896484375
9542.96484375,-7864.37109375,-16841.658203125,2103.254150390625,-3079.444091796875,-26545.419921875,-8784.63671875,9090.2744140625
10108.7763671875,-875.7412719726562,-9271.0556640625,1815.05078125,242.60580444335938,-19087.740234375,-1106.8135986328125,9273.3349609375
