Channel,Frequency,Value,Label
CP3,0,42.14306515568339,right
CP3,1,42.24844697328433,right
CP3,2,41.118656325779924,right
CP3,3,40.82126152148725,right
CP3,4,34.144236642973,right
CP3,5,34.841606567290135,right
CP3,6,34.38860992359474,right
CP3,7,34.63778495730463,right
CP3,8,34.39571811191999,right
CP3,9,34.82336716068243,right
CP3,10,36.426994372986606,right
CP3,11,36.770882502978836,right
CP3,12,36.3792189669993,right
CP3,13,36.220381673820434,right
CP3,14,36.32553766959972,right
CP3,15,36.282542983252796,right
CP3,16,35.97754139063514,right
CP3,17,34.863963674331664,right
CP3,18,34.31807356037072,right
CP3,19,34.336564110833706,right
CP3,20,34.454551620052314,right
CP3,21,33.6573206091227,right
CP3,22,33.81422937518534,right
CP3,23,34.17025869620408,right
CP3,24,33.66001117919987,right
CP3,25,33.61225990514376,right
CP3,26,34.08103377880008,right
CP3,27,31.064028417006988,right
CP3,28,32.82065560401206,right
CP3,29,33.62471362397613,right
CP3,30,33.679108695025405,right
CP3,31,33.130909294277046,right
CP3,32,33.90688105147204,right
CP3,33,33.64434352965374,right
CP3,34,32.74449255924733,right
CP3,35,30.832450007012874,right
CP3,36,31.05258440112894,right
CP3,37,31.250729758388587,right
CP3,38,32.116396051553025,right
CP3,39,31.77521255475401,right
CP3,40,32.129907817862005,right
CP3,41,32.516089393041696,right
CP3,42,33.6204395142741,right
CP3,43,33.34939673730862,right
CP3,44,33.28517219175554,right
CP3,45,32.196288233543115,right
CP3,46,32.43738880776966,right
CP3,47,32.089297503086996,right
CP3,48,32.69702125216914,right
CP3,49,32.94641096407035,right
CP3,50,33.11721861362349,right
CP3,51,33.04887765651764,right
CP3,52,32.6286400287871,right
CP3,53,33.82197214174819,right
CP3,54,34.55474791455982,right
CP3,55,34.76442441641718,right
CP3,56,34.22235168111632,right
CP3,57,33.34300292449788,right
C3,0,35.769526137907704,right
C3,1,36.075361931604704,right
C3,2,35.858328381313804,right
C3,3,35.55454966492496,right
C3,4,33.55810880189828,right
C3,5,33.964290895020625,right
C3,6,33.48427676420564,right
C3,7,33.61454494523501,right
C3,8,33.86325812512786,right
C3,9,33.56108681394281,right
C3,10,33.89203769491934,right
C3,11,32.29584460535288,right
C3,12,31.854921779693836,right
C3,13,31.67080984489469,right
C3,14,32.288772870849925,right
C3,15,32.18140229997087,right
C3,16,31.606059276272113,right
C3,17,31.38018432991621,right
C3,18,30.425641563064268,right
C3,19,30.720442675759134,right
C3,20,30.903913401414282,right
C3,21,30.493355601327327,right
C3,22,31.011212006181992,right
C3,23,31.19843598246576,right
C3,24,31.36311078025614,right
C3,25,31.392190177764732,right
C3,26,32.118286569398016,right
C3,27,31.440163437401942,right
C3,28,30.569986897481797,right
C3,29,30.316659080971895,right
C3,30,29.643438234427542,right
C3,31,29.11657497890936,right
C3,32,28.139181086025914,right
C3,33,27.623738474800284,right
C3,34,26.98713852092457,right
C3,35,27.847241825150032,right
C3,36,26.56642247357597,right
C3,37,28.49098441401496,right
C3,38,27.731855661897413,right
C3,39,27.468746250085832,right
C3,40,27.393120197574568,right
C3,41,27.869432891700562,right
